"«Корунд-М», ЗАО","""Korund-M"", CJSC",Москва,Россия,Moscow,Russia,Стенд: 1A5-3,Stand: 1A5-3
"«Красная звезда», газета Вооруженных Сил Российской Федерации","Krasnaya Zvezda, newspaper of the Armed Forces of the Russian Federation",Москва,Россия,Moscow,Russia,Стенд: 4F2-1,Stand: 4F2-1
AGE DEFENSE SOLUTIONS,AGE DEFENSE SOLUTIONS,Стамбул,Россия,Istanbul,Russia,Стенд: 3B2-3,Stand: 3B2-3
ExpoElectronica/ElectronTechExpo,ExpoElectronica/ElectronTechExpo,Москва,Россия,Moscow,Russia,Стенд: 4Е5-2,Stand: 4E5-2
Flour Mills of Nigeria,Flour Mills of Nigeria,Москва,Россия,Moscow,Russia,Стенд: 4C3,Stand: 4C3
IRAN AIRSHOW COMPANY,IRAN AIRSHOW COMPANY,,Иран,,Iran,Стенд: 3B1-4,Stand: 3B1-4
iRU,iRU,Красногорск,Россия,Krasnogorsk,Russia,Стенд: 1B1-4,Stand: 1B1-4
KUBO,KUBO,Санкт-Петербург,Россия,Saint-Petersburg,Russia,Стенд: 1A3-6,Stand: 1A3-6
Media Transasia,Media Transasia,,Тайланд,,Thailand,Стенд: 2F2-2,Stand: 2F2-2
MILEX Выставка (БелЭкспо),MILEX Exhibition (BelExpo),Минск,Беларусь,Minsk,Belarus,Стенд: 2B1-1,Stand: 2B1-1
Mr.President,Mr President,Екатеринбург,Россия,Yekaterinburg,Russia,,
National Pavilion of Iran MoD ,National Pavilion of Iran MoD ,,Иран,,Iran,,
Nigerian Breweries,Nigerian Breweries,,Нигерия,,Nigeria,,
ORSIS (ООО «ПРОМТЕХНОЛОГИЯ»),ORSIS (PROMTECHNOLOGIA LLC),Москва,Россия,Moscow,Russia,Стенд: 2E3-1,Stand: 2E3-1
Sputnik,Sputnik,Москва,Россия,Moscow,Russia,Стенд: 4E1,Stand: 4E1
UM-Forest мульчеры,UM-Forest mulchers,Пермь,Россия,Perm,Russia,,
UM-Forest мульчеры,UM-Forest mulchers,Пермь,Россия,Perm,Russia,,
XiaoCheung (Cyber Smart Limited),Xiao Cheung (Cyber Smart Limited),,Китайская народная республика,,People's Republic of China,Стенд: 4F2-6,Stand: 4F2-6
ZALA AERO GROUP,ZALA AERO GROUP,Москва,Россия,Moscow,Russia,Стенд: 2B5-2,Stand: 2B5-2
"АБ «РОССИЯ», АО","JSB ""RUSSIA"", JSC",Санкт-Петербург,Россия,Saint-Petersburg,Russia,Стенд: 2D4-2,Stand: 2D4-2
Абтроникс,Abtronics,Москва,Россия,Moscow,Russia,Стенд: Заочно,Stand: In absentia
АВ Пауэр (AV Power),AV Power (AV Power),Москва,Россия,Moscow,Russia,Стенд: 3A1-5,Stand: 3A1-5
Авангард,Vanguard,Москва,Россия,Moscow,Russia,"Стенд: 3C1, 2O5","Stand: 3C1, 2O5"
"Авангард, АО","Avangard, AO",Сафоново,Россия,Safonovo,Russia,Стенд: Демоцентр,Stand: Democenter
Авантех,Avantech,Санкт-Петербург,Россия,Saint-Petersburg,Russia,Стенд: 1A6-4,Stand: 1A6-4
"Авексима, ОАО","Aveksima, JSC",Москва,Россия,Moscow,Russia,Стенд: 4B6-1,Stand: 4B6-1
"Авиаавтоматика им. В.В .Тарасова, АО","Aviaavtomatika them. V.V. Tarasova, JSC",Курск,Россия,Kursk,Russia,Стенд: 4O1,Stand: 4O1
"АВИАМЕТИЗ, ООО","AVIAMETIZ, OOO",Пенза,Россия,Penza,Russia,Стенд: 1F3-3,Stand: 1F3-3
"Авиационный комплекс им. С.В. Ильюшина, ПАО","Aviation Complex. S.V. Ilyushin, PAO",Москва,Россия,Moscow,Russia,Стенд: Демоцентр,Stand: Democenter
Авиация и спорт,Aviation and sports,Королев,Россия,Korolev,Russia,Стенд: 1F3-1,Stand: 1F3-1
АВИВ,AVIV,Москва,Россия,Moscow,Russia,Стенд: 3F2-2,Stand: 3F2-2
"Автодом, ООО","Avtodom, OOO",Ульяновск,Россия,Ulyanovsk,Russia,Стенд: 5O14,Stand: 5O14
"Автомастер, ООО","Avtomaster, OOO",Нижний Новгород,Россия,Nizhny Novgorod,Russia,Стенд: 2O9,Stand: 2O9
"Автоматизированная система торгов государственного оборонного заказа, ООО","Automated bidding system of the state defense order, LLC",Москва,Россия,Moscow,Russia,Стенд: 4D6,Stand: 4D6
"Автомобильный завод «УРАЛ», АО","Automobile plant ""URAL"", JSC",Миасс,Россия,Miass,Russia,"Стенд: 2O1, 5O15","Stand: 2O1, 5O15"
"Автономные системы, ООО","Autonomous systems, LLC",,Россия,,Russia,Стенд: 3A5-3,Stand: 3A5-3
"АВТОУСЛУГИ, ООО",AUTOSERVICES LLC,Павлово,Россия,Pavlovo,Russia,Стенд: 5O22,Stand: 5O22
"Автофургон, ООО","Avtofurgon, OOO",,Россия,,Russia,Стенд: 5O3,Stand: 5O3
"АГАТ-системы управления, ОАО","AGAT-control systems, JSC",Минск,Беларусь,Minsk,Belarus,Стенд: 2D1,Stand: 2D1
"Агат-электромеханический завод, ОАО","Agat-electromechanical plant, OJSC",Минск,Беларусь,Minsk,Belarus,,
"Агат, Гаврилов-Ямский машиностроительный завод","Agat, Gavrilov-Yamsky Machine-Building Plant",Гаврилов-Ям,Россия,Gavrilov-Yam,Russia,Стенд: 3B4-1,Stand: 3B4-1
Агентство «Эмерком»,"Agency ""Emercom""",,Россия,,Russia,Стенд: 5C1-2,Stand: 5C1-2
Агентство инновационного развития Ульяновской области,Agency for Innovative Development of the Ulyanovsk Region,Димитровград,Россия,Dimitrovgrad,Russia,Стенд: 3A4-3,Stand: 3A4-3
Агентство международного сотрудничества Челябинской области,Agency for International Cooperation of the Chelyabinsk Region,,Россия,,Russia,Стенд: 1O6,Stand: 1O6
"Агрегат, ПАО","Unit, PAO",Сим,Россия,Sim,Russia,"Стенд: 3B4-1, 5C2-2","Stand: 3B4-1, 5C2-2"
АДВАНТЕХ,ADVANTECH,Москва,Россия,Moscow,Russia,Стенд: 1F2-2,Stand: 1F2-2
"АДДИТИВНЫЕ ТЕХНОЛОГИИ, Журнал","ADDITIVE TECHNOLOGIES, Journal",Москва,Россия,Moscow,Russia,Стенд: 1F3-11,Stand: 1F3-11
"Адмиралтейские верфи, АО",Admiralty Shipyards JSC,Санкт-Петербург,Россия,Saint-Petersburg,Russia,Стенд: Демоцентр,Stand: Democenter
"Адриа Винч Зеленодольск, ООО","Adria Vinch Zelenodolsk, OOO",,Россия,,Russia,Стенд: 3D6,Stand: 3D6
"Азарт, ООО","Azart, OOO",Ленинградская обл.,Россия,Leningrad region,Russia,Стенд: 3O13,Stand: 3O13
Азон,Azon,Москва,Россия,Moscow,Russia,Стенд: 1A5-2,Stand: 1A5-2
"АИ ОПК, ООО","AI OPK, OOO",Москва,Россия,Moscow,Russia,Стенд: 4F2-4,Stand: 4F2-4
АйСиЭл Техно,iciel techno,Усады,Россия,Usady,Russia,Стенд: 1E4-2,Stand: 1E4-2
"АК «РУБИН», ПАО","JSC ""RUBIN"", PJSC",Балашиха,Россия,Balashikha,Russia,Стенд: 2E4-2,Stand: 2E4-2
Академия наук Респукблики Татарстан,Academy of Sciences of the Republic of Tatarstan,Казань,Россия,Kazan,Russia,,
"АКИН, АО","AKIN, JSC",Москва,Россия,Moscow,Russia,Стенд: 3C7,Stand: 3C7
Аккумуляторная компания «Ригель»,"Battery company ""Rigel""",Санкт-Петербург,Россия,Saint-Petersburg,Russia,Стенд: 3E5-4,Stand: 3E5-4
"АКРОСПОРТ, ООО",AKROSPORT LLC,Санкт-Петербург,Россия,Saint-Petersburg,Russia,Стенд: 1B8-2,Stand: 1B8-2
Акционерное общество «Научно-производственное объединение «Радиозавод имени А.С. Попова»,"Joint Stock Company ""Scientific and Production Association"" Radio Plant named after A.S. Popov""",Москва,Россия,Moscow,Russia,Стенд: 1D5,Stand: 1D5
"АЛЕКСАНДЕР ЭЛЕКТРИК источники электропитания, ООО","ALEXANDER ELECTRIC power sources, LLC",Москва,Россия,Moscow,Russia,Стенд: 1F4-7,Stand: 1F4-7
"АЛЕКСАНДР, ООО, НПП","ALEXANDER, OOO, NPP",Москва,Россия,Moscow,Russia,Стенд: 1D3-2,Stand: 1D3-2
"Алкор Био, ООО","Alkor Bio, OOO",Санкт-Петербург,Россия,Saint-Petersburg,Russia,Стенд: 5С3,Stand: 5S3
"Алмаз - Антей, Концерн воздушно-космической обороны, Акционерное общество","Almaz - Antey, Aerospace Defense Concern, Joint Stock Company",Москва,Россия,Moscow,Russia,"Стенд: 3C1, 2O5","Stand: 3C1, 2O5"
"АЛТАЙТРАНСМАШ-СЕРВИС, ООО","ALTAITRANSMASH-SERVICE, LLC",Рубцовск,Россия,Rubtsovsk,Russia,Стенд: Заочно,Stand: In absentia
"Альвис, НТО","Alvis, NTO",Тула,Россия,Tula,Russia,Стенд: 3A5-1,Stand: 3A5-1
АЛЬФА,ALPHA,Тверь,Россия,Tver,Russia,Стенд: 3B6-1,Stand: 3B6-1
